name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,merger_type,energy_released,E_GW,frequency,lookback_time,luminosity_distance_m,luminosity,luminosity_distance_lower_m,luminosity_distance_upper_m,luminosity_lower,luminosity_upper
GW200220_124850,GW200220_124850-v1,1266238148.1,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200220_124850-v1,38.9,-8.6,14.1,27.9,-9.0,9.2,8.5,-0.5,0.3,4000.0,-2200.0,2800.0,-0.07,-0.33,0.27,67.0,-12.0,17.0,28.2,-5.1,7.3,28.600721579572365,,,0.66,-0.31,0.36,30.0,,,0.82579,,,64.0,-11.0,16.0,BH-BH,2.5165145004630867e+17,2.5199999999999974e+17,11.85260448662222,6.255564265012396,1.2344e+26,1.914792378292891e+27,-6.7892000000000005e+25,8.6408e+25,5.7922469443359964e+26,9.382482653635167e+26
GW200220_061928,GW200220_061928-v1,1266214786.7,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200220_061928-v1,87.0,-23.0,40.0,61.0,-25.0,26.0,7.2,-0.7,0.4,6000.0,-3100.0,4800.0,0.06,-0.38,0.4,148.0,-33.0,55.0,62.0,-15.0,23.0,63.22038110119893,,,0.9,-0.4,0.55,6.8,,,0.62376,,,141.0,-31.0,51.0,BH-BH,6.291286251157723e+17,6.3e+17,97.29188669457949,7.5071380622513,1.8516e+26,4.308282851159006e+27,-9.5666e+25,1.48128e+26,1.1500721722121676e+27,2.7573010247417634e+27
200219_201407,200219_201407-v1,1266178465.9,1,GWTC-3-marginal,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/200219_201407-v1,,,,,,,13.59,,,,,,,,,,,,,,,,,,,,,0.22,,,0.481,,,,,,Unknown,,,84.91983767203796,0.0,,,,,,
GW200219_094415,GW200219_094415-v1,1266140673.1,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200219_094415-v1,37.5,-6.9,10.1,27.9,-8.4,7.4,10.7,-0.5,0.3,3400.0,-1500.0,1700.0,-0.08,-0.29,0.23,65.0,-8.2,12.6,27.6,-3.8,5.6,28.097374038608088,,,0.57,-0.22,0.22,0.00099,,,0.99,,,62.2,-7.8,11.7,BH-BH,2.876016571957819e+17,2.8800000000000026e+17,29.110519961044854,5.685694678366635,1.04924e+26,1.3834374933166137e+27,-4.629e+25,5.2462e+25,2.6926767819743787e+26,3.458593733291534e+26
GW200216_220804,GW200216_220804-v1,1265926102.8,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200216_220804-v1,51.0,-13.0,22.0,30.0,-16.0,14.0,8.1,-0.5,0.4,3800.0,-2000.0,3000.0,0.1,-0.36,0.34,81.0,-14.0,20.0,32.9,-8.5,9.3,33.8156589481832,,,0.63,-0.29,0.37,0.35,,,0.77277,,,78.0,-13.0,19.0,BH-BH,2.6962655362104528e+17,2.7e+17,26.364247048639054,6.072551936031819,1.17268e+26,1.7281001214093342e+27,-6.172e+25,9.258e+25,4.786980945732228e+26,1.0770707127897515e+27
200214_224526,200214_224526-v1,1265755544.5,1,O3_IMBH_marginal,https://doi.org/10.7935/7583-5j44,http://gwosc.org/api/v2/event-versions/200214_224526-v1,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,0.1314,,,,,,,,,Unknown,,,26.506405886809045,0.0,,,,,,
200214_224526,200214_224526-v2,1265755544.5,2,GWTC-3-marginal,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/200214_224526-v2,,,,,,,13.133,,,,,,,,,,,,,,,,,,,,,0.131444,,,0.9095,,,,,,Unknown,,,37.381801866358394,0.0,,,,,,
GW200210_092254,GW200210_092254-v1,1265361792.9,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200210_092254-v1,24.1,-4.6,7.5,2.83,-0.42,0.47,8.4,-0.7,0.5,940.0,-340.0,430.0,0.02,-0.21,0.22,27.0,-4.3,7.1,6.56,-0.4,0.38,6.519808145223166,,,0.19,-0.06,0.08,1.2,,,0.54462,,,26.7,-4.3,7.2,Unknown,2.0671369110946844e+16,2.070000000000004e+16,57.228078846901404,2.402575900918615,2.90084e+25,1.0574440909122491e+26,-1.0492400000000001e+25,1.3269800000000001e+25,1.3834374933166142e+25,2.2127819421647227e+25
GW200209_085452,GW200209_085452-v1,1265273710.1,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200209_085452-v1,35.6,-6.8,10.5,27.1,-7.8,7.8,9.6,-0.5,0.4,3400.0,-1800.0,1900.0,-0.12,-0.3,0.24,62.6,-9.4,13.9,26.7,-4.2,6.0,26.989700490622344,,,0.57,-0.26,0.25,0.046,,,0.97236,,,59.9,-8.9,13.1,BH-BH,2.516514500463093e+17,2.520000000000004e+17,48.87505167779042,5.685694678366635,1.04924e+26,1.3834374933166137e+27,-5.5548e+25,5.8634e+25,3.877454566043104e+26,4.3202503035233355e+26
GW200208_222617,GW200208_222617-v1,1265235995.9,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW200208_222617-v1,51.0,-30.0,103.0,12.3,-5.5,9.2,7.4,-1.2,1.4,4100.0,-2000.0,4400.0,0.45,-0.46,0.42,63.0,-26.0,100.0,19.8,-5.2,10.5,20.806758695944268,,,0.66,-0.29,0.53,4.8,,,0.70006,,,61.0,-26.0,99.0,BH-BH,2.067136911094678e+17,2.0699999999999974e+17,36.21062261782377,6.255564265012396,1.26526e+26,2.0117287424439684e+27,-6.172e+25,1.3578400000000001e+26,4.786980945732228e+26,2.3168987777343985e+27
